cylinders,displacement,drive,gas,make,model,transmission,city,highway,type,year
4,2,Rear-Wheel Drive,Hybrid,BMW,330e Sedan,Automatic,34.8,46,Compact,2024
4,2,All-Wheel Drive,Hybrid,BMW,330e xDrive Sedan,Automatic,32.2,46,Compact,2024
4,2,All-Wheel Drive,Premium,Mercedes-Benz,AMG C43 4matic,Automatic,25.2,39.6,Compact,2024
6,3,Rear-Wheel Drive,Premium,BMW,Z4 M40i,Automatic,30.5,43.9,Coupe,2020
10,5.2,All-Wheel Drive,Premium,Audi,R8 AWD,Automatic,16.0159,26.8762,Coupe,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT Coupe,Automatic,19.6,30.8,Coupe,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT Roadster,Automatic,19.6,30.8,Coupe,2020
10,5.2,All-Wheel Drive,Premium,Audi,R8 Spyder AWD,Automatic,16.0159,26.8762,Coupe,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT C Coupe,Automatic,19.1,28.8,Coupe,2020
4,2,Rear-Wheel Drive,Premium,BMW,Z4 sDrive30i,Automatic,31.4402,45.9272,Coupe,2020
8,4.7,Rear-Wheel Drive,Premium,Mercedes-Benz,SL550,Automatic,21.8,35.7,Coupe,2020
6,3,Rear-Wheel Drive,Premium,Mercedes-Benz,SL450,Automatic,24.6,39.3,Coupe,2020
4,2,All-Wheel Drive,Regular,Audi,TT Roadster quattro,Automatic,28.3069,42.4085,Coupe,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT C Roadster,Automatic,18.4,27.7,Coupe,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT R Coupe,Automatic,18.3,27.6,Coupe,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT R Roadster,Automatic,18.3,27.6,Coupe,2020
6,3,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG SLC43,Automatic,25.1,41.1,Coupe,2020
4,2,Rear-Wheel Drive,Premium,Mercedes-Benz,SLC300,Automatic,29.9,46.8,Coupe,2020
10,5.2,All-Wheel Drive,Premium,Audi,R8,Automatic,15.8765,26.0378,Coupe,2021
10,5.2,All-Wheel Drive,Premium,Audi,R8 Spyder,Automatic,15.8765,26.0378,Coupe,2021
6,3,Rear-Wheel Drive,Premium,BMW,Z4 M40i,Automatic,29.2,42.2,Coupe,2021
4,2,Rear-Wheel Drive,Premium,BMW,Z4 sDrive30i,Automatic,31.8497,46.4901,Coupe,2021
10,5.2,Rear-Wheel Drive,Premium,Audi,R8 2WD,Automatic,15.8768,29.6317,Coupe,2021
10,5.2,Rear-Wheel Drive,Premium,Audi,R8 Spyder 2WD,Automatic,15.8768,29.6317,Coupe,2021
4,2,All-Wheel Drive,Regular,Audi,TT Roadster quattro,Automatic,28.1148,42.1933,Coupe,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT Coupe,Automatic,18.6,27.4,Coupe,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT C Coupe,Automatic,18.3,26.9,Coupe,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT R Coupe,Automatic,17.7,27.1,Coupe,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT Roadster,Automatic,18.3,27.1,Coupe,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT C Roadster,Automatic,18.4,27.1,Coupe,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG GT Black Series,Automatic,18.6995,27.1499,Coupe,2021
10,5.2,All-Wheel Drive,Premium,Audi,R8 Coupe,Automatic,15.6266,25.6782,Coupe,2022
10,5.2,All-Wheel Drive,Premium,Audi,R8 Spyder,Automatic,15.6266,25.6782,Coupe,2022
10,5.2,Rear-Wheel Drive,Premium,Audi,R8 Coupe RWD,Automatic,16.5144,29.2412,Coupe,2022
10,5.2,Rear-Wheel Drive,Premium,Audi,R8 Spyder RWD,Automatic,16.5144,29.2412,Coupe,2022
4,2,All-Wheel Drive,Regular,Audi,TT Roadster quattro,Automatic,28.4557,42.0083,Coupe,2022
4,2,Rear-Wheel Drive,Premium,BMW,Z4 sDrive30i,Automatic,32.5291,46.5091,Coupe,2022
6,3,Rear-Wheel Drive,Premium,BMW,Z4 M40i,Automatic,27.8,41.5,Coupe,2022
4,2,All-Wheel Drive,Regular,Audi,TT Roadster,Automatic,28.3551,41.888,Coupe,2023
10,5.2,All-Wheel Drive,Premium,Audi,R8 Coupe quattro,Automatic,15.7331,24.8001,Coupe,2023
10,5.2,All-Wheel Drive,Premium,Audi,R8 Spyder quattro,Automatic,15.7331,24.8001,Coupe,2023
10,5.2,Rear-Wheel Drive,Premium,Audi,R8 Coupe RWD,Automatic,16.8667,29.2427,Coupe,2023
10,5.2,Rear-Wheel Drive,Premium,Audi,R8 Spyder RWD,Automatic,16.8667,29.2427,Coupe,2023
10,5.2,Rear-Wheel Drive,Premium,Audi,R8 GT RWD,Automatic,18.3,29.5,Coupe,2023
4,2,Rear-Wheel Drive,Premium,BMW,Z4 sDrive30i,Automatic,32.3,47.6,Coupe,2023
6,3,Rear-Wheel Drive,Premium,BMW,Z4 M40i,Automatic,29,45.1,Coupe,2023
4,2,Rear-Wheel Drive,Premium,BMW,Z4 sDrive30i,Automatic,32.3,47.6,Coupe,2024
6,3,Rear-Wheel Drive,Premium,BMW,Z4 M40i,Automatic,29,45.1,Coupe,2024
4,2,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG SL43,Automatic,26.1,37.9,Coupe,2023
4,2,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG SL43,Automatic,24.8,38.3,Coupe,2024
4,2,Rear-Wheel Drive,Premium,BMW,Z4 sDrive30i,Automatic,32.3,47.6,Coupe,2025
6,3,Rear-Wheel Drive,Premium,BMW,Z4 M40i,Automatic,29,42.1,Coupe,2025
6,3,Rear-Wheel Drive,Premium,BMW,Z4 M40i,Automatic,23.5,37.4,Coupe,2025
6,3,Rear-Wheel Drive,Premium,BMW,740i,Automatic,27.4401,41.9643,Large,2020
6,3,All-Wheel Drive,Premium,BMW,740i xDrive,Automatic,24.6213,39.2862,Large,2020
8,4.4,All-Wheel Drive,Premium,BMW,750i xDrive,Automatic,21,34.5,Large,2020
12,6.6,All-Wheel Drive,Premium,BMW,M760i xDrive,Automatic,16.2,27.3,Large,2020
6,3,All-Wheel Drive,Hybrid,BMW,745e xDrive,Automatic,26.5,37.2,Large,2020
4,2,All-Wheel Drive,Premium,BMW,X1 xDrive28i,Automatic,29.2586,43.8271,Large,2020
8,4.4,All-Wheel Drive,Premium,BMW,Alpina B7,Automatic,20.9662,34.4201,Large,2020
6,3,Rear-Wheel Drive,Premium,Mercedes-Benz,S450,Automatic,23.5,39.7,Large,2020
6,3,4-Wheel Drive,Premium,Mercedes-Benz,S450 4matic,Automatic,23.1,39.5,Large,2020
4,2,Front-Wheel Drive,Premium,BMW,X1 sDrive28i,Automatic,30.8266,46.9568,Large,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,S560,Automatic,21.2,38.9,Large,2020
8,4,4-Wheel Drive,Premium,Mercedes-Benz,AMG S63 4matic Plus,Automatic,20.8,37.4,Large,2020
8,4,4-Wheel Drive,Premium,Mercedes-Benz,S560 4matic,Automatic,21.7,38.6,Large,2020
8,4,4-Wheel Drive,Premium,Mercedes-Benz,S560 4matic Maybach,Automatic,20.4,35.2,Large,2020
8,4,All-Wheel Drive,Premium,Audi,S8,Automatic,17.2,29.9,Large,2020
8,4,All-Wheel Drive,Premium,Audi,A8 L,Automatic,20,31.6,Large,2020
6,3,All-Wheel Drive,Premium,Audi,A8 L,Automatic,23.2,38.3,Large,2020
12,6,Rear-Wheel Drive,Premium,Mercedes-Benz,Maybach S650,Automatic,16.1,27.7,Large,2020
12,6,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG S65,Automatic,15.5,28.4,Large,2020
6,3,All-Wheel Drive,Hybrid,Audi,A8 L,Automatic,26,38.5,Large,2020
6,3,Rear-Wheel Drive,Hybrid,Mercedes-Benz,S560e,Automatic,28.7,41,Large,2020
8,4.4,All-Wheel Drive,Premium,BMW,750i xDrive,Automatic,20.6316,34.1278,Large,2021
8,4.4,All-Wheel Drive,Premium,BMW,Alpina B7,Automatic,20.6316,34.1278,Large,2021
